RACEDATE,PLACE,RACE,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,WEIGHT1,WEIGHT2,WEIGHT3,WEIGHT4,WEIGHT5,WEIGHT6,ST_AVG1,ST_AVG2,ST_AVG3,ST_AVG4,ST_AVG5,ST_AVG6,CLASS1,CLASS2,CLASS3,CLASS4,CLASS5,CLASS6,L1,L2,L3,L4,L5,L6,F1,F2,F3,F4,F5,F6,WIN1RATE1,WIN1RATE2,WIN1RATE3,WIN1RATE4,WIN1RATE5,WIN1RATE6,WIN2RATE1,WIN2RATE2,WIN2RATE3,WIN2RATE4,WIN2RATE5,WIN2RATE6,LOCALWIN1RATE1,LOCALWIN1RATE2,LOCALWIN1RATE3,LOCALWIN1RATE4,LOCALWIN1RATE5,LOCALWIN1RATE6,LOCALWIN2RATE1,LOCALWIN2RATE2,LOCALWIN2RATE3,LOCALWIN2RATE4,LOCALWIN2RATE5,LOCALWIN2RATE6,MOTORWIN2RATE1,MOTORWIN2RATE2,MOTORWIN2RATE3,MOTORWIN2RATE4,MOTORWIN2RATE5,MOTORWIN2RATE6,MOTORWIN3RATE1,MOTORWIN3RATE2,MOTORWIN3RATE3,MOTORWIN3RATE4,MOTORWIN3RATE5,MOTORWIN3RATE6,BOATWIN2RATE1,BOATWIN2RATE2,BOATWIN2RATE3,BOATWIN2RATE4,BOATWIN2RATE5,BOATWIN2RATE6,BOATWIN3RATE1,BOATWIN3RATE2,BOATWIN3RATE3,BOATWIN3RATE4,BOATWIN3RATE5,BOATWIN3RATE6,TAN,TANK,RENTAN2,RENTAN2K,RENTAN3,RENTAN3K
2025-04-30,丸亀,9,29,36,21,34,22,52,52,52.8,52,52.6,53.4,52.8,0.16,0.14,0.15,0.12,0.16,0.16,3,3,4,3,1,4,0,0,0,0,0,0,1,0,0,0,0,0,6.84,6.63,6.01,6.76,5.67,5.41,55.36,48.78,39.56,51.77,40.3,34.48,6,5.79,4.09,6.56,0,5.33,42.86,44.12,16.25,44.12,0,22.22,25.17,29.25,44.44,31.08,21.32,25.2,44.06,48.98,60.42,45.95,36.03,40.94,37.37,27.57,38.89,37.44,36.41,33.17,51.52,43.24,53.03,53.33,47.18,50.25,1,120,1>2,250,1>2>3,700
2025-04-30,丸亀,10,29,35,41,39,49,35,54.4,52.5,59.6,47,52.8,52,0.19,0.14,0.18,0.15,0.17,0.18,1,3,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,4.89,6.55,3.34,6.96,6.47,6.8,30.37,43.75,11.96,54.08,48.25,50.99,0,6.08,4.91,6.76,0,7,0,29.17,27.27,51.52,0,52.38,43.66,26.57,33.13,40.26,48.82,30.99,64.08,48.25,50.63,61.04,63.78,47.18,32.46,27.51,27.03,36.5,38.78,37.88,51.83,44.97,47.03,53,58.16,58.59,1,120,1>2,270,1>2>5,1160
2025-04-30,丸亀,11,33,41,46,27,36,46,52,52,52,52.3,51,57.1,0.14,0.15,0.19,0.14,0.17,0.15,3,4,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,6.24,6.81,5.64,4.68,5.66,5.24,35.19,52.89,37.5,25.23,37.11,32.93,5.39,7.46,5.82,5.47,5.15,5.24,39.13,67.39,45.45,36.84,42.31,28.57,33.57,28.86,30.43,29.17,31.25,26.97,57.14,46.98,54.35,46.53,45.14,41.45,31.72,29.57,35.68,34.9,35.05,31.05,51.61,43.01,48.74,50.52,54.12,47.89,1,250,1>2,160,1>2>4,520
2025-04-30,丸亀,12,33,34,36,25,46,36,47.4,52.1,53.2,51.5,52.7,57.4,0.17,0.2,0.14,0.13,0.17,0.14,4,4,1,4,1,4,0,0,0,0,0,0,1,0,0,1,0,1,4.96,6.43,4.61,5.69,4.65,4.8,25,52.26,29,40,23.91,26.32,0,6.55,4,6.17,3.55,5.47,0,60.61,30,50,9.09,47.37,28.13,29.73,37.91,40.56,27.01,30.99,50.78,49.32,58.17,57.34,44.53,47.89,29.44,40.1,31.82,26.49,35.05,32.99,48.33,55.84,52.53,47.03,52.06,52.06,4,280,4>3,1800,4>3>6,8220
2025-04-30,唐津,1,29,55,21,44,48,44,54.3,52.3,50,52,52,51.5,0.14,0.18,0.17,0.15,0.15,0.33,3,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,7.03,4.46,3.9,5.46,4.11,4.74,53.92,18.99,16,38.79,21.11,22,6.72,4,2.76,5.95,4.38,5.15,54.81,16.44,5.63,42.76,24.06,34.67,41.14,31.06,37.72,34.21,41.71,25.79,53.8,50.93,54.49,54.61,55.43,47.8,25,17.14,18.42,30.77,52.94,20,46.43,42.86,36.84,51.28,82.35,32,1,110,1>2,480,1>2>3,1470
2025-04-30,唐津,2,47,45,37,48,24,23,52,52,52,52.5,52.9,51.5,0.14,0.15,0.11,0.15,0.18,0.33,4,1,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,5.91,4.67,7.83,4.27,1.7,1.38,38.79,26.02,54.68,21.43,2,1.64,5.91,5.02,7.76,4.88,1.9,1,40.46,32.11,64.19,32.47,0,0,29.8,35.12,31.4,27.33,30.06,35.23,51.66,51.19,49.42,44.19,46.63,55.11,27.03,56.41,33.33,32,42.5,23.68,45.95,76.92,50,48,65,39.47,3,170,3>4,1120,3>4>1,2020
2025-04-30,唐津,3,39,27,29,49,38,20,52,52.8,52,52,54.9,54.1,0.16,0.17,0.16,0.16,0.12,0.33,4,1,1,1,3,2,0,0,0,0,0,0,1,0,1,1,0,1,6.2,4.04,4.34,4.84,7.19,1.16,46.62,21.85,24.56,21.43,45.97,0,5.64,2.45,4.15,5.46,7.74,1.18,41.44,11.9,21.53,36.54,61.8,0,47.62,49.37,38.04,25.63,38.41,47.37,60.54,65.82,57.67,46.88,59.15,63.82,45.83,52.78,43.59,33.33,55.56,12,50,72.22,64.1,51.85,66.67,28,5,170,5>1,580,5>1>3,1590
2025-04-30,唐津,4,40,50,40,49,32,33,52.8,51,51.5,52,50,52.4,0.14,0.13,0.15,0.15,0.14,0.16,1,3,4,1,4,1,0,0,0,0,0,0,1,0,1,0,0,0,5.43,7.32,6.03,5.31,6.53,4.53,39.58,59.35,41.1,33.01,45.69,22.73,5.25,7.89,6.53,5.72,5.94,5.16,32.14,69.47,47.29,35.37,36.23,21.05,30.18,30.43,41.82,29.63,36.36,28.14,45.56,49.07,58.79,51.85,55.3,44.31,40.74,40,31.03,36.67,18.42,25,62.96,54.29,65.52,53.33,50,31.25,1,510,1>2,410,1>2>4,2190
2025-04-30,唐津,5,32,43,24,29,25,56,52,55.2,51,54.3,52.5,52.2,0.15,0.14,0.16,0.14,0.2,0.17,4,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,5.81,4.53,6.79,7.03,4.63,5.13,41.59,27.66,47.97,53.92,26.14,32.94,5.96,5.02,7.01,6.72,2.79,5.8,40,28.46,51.58,54.81,8.93,42,37.04,40.11,36.75,41.14,52.38,37.33,53.09,59.89,51.81,53.8,67.35,54.67,28.95,50,28.95,25,47.5,40.48,42.11,57.69,52.63,46.43,55,45.24,2,2510,2>4,8030,2>4>3,34600
2025-04-30,唐津,6,48,28,46,23,39,35,52.5,51.5,51,52.8,52,52,0.15,0.15,0.17,0.13,0.16,0.15,1,4,1,3,1,3,0,0,0,0,0,0,0,0,0,1,1,0,4.27,5.46,4.51,7.2,5.28,6.4,21.43,34.18,24.27,45.08,31.78,46.04,4.88,5.43,4.98,7.19,5.35,6.84,32.47,33.33,27.93,58.26,38.14,51.79,27.33,30.43,37.5,44.76,26.17,23.03,44.19,45.96,51.25,65.73,45.64,37.5,32,34.21,25,32.35,25,20,48,42.11,47.22,55.88,36.11,42.5,4,150,4>1,790,4>1>2,2420
